id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__norank_f__Syntrophomonadaceae	g__norank_f__Syntrophomonadaceae	73.1014927599405	g__norank_f__Syntrophomonadaceae	0.9968	magenta										
g__norank_f__Nannocystaceae	g__norank_f__Nannocystaceae	25.8812579531576	g__norank_f__Nannocystaceae	0.828	magenta										
g__Inquilinus	g__Inquilinus	73.1014927599405	g__Inquilinus	0.9968	magenta										
g__Pelagibacterium	g__Pelagibacterium	27.6638608626759	g__Pelagibacterium	0.8443	magenta										
g__Pseudogulbenkiania	g__Pseudogulbenkiania	73.1014927599405	g__Pseudogulbenkiania	0.9968	magenta										
g__IS-44	g__IS-44	73.1014927599405	g__IS-44	0.9968	magenta										
g__Azovibrio	g__Azovibrio	73.1014927599405	g__Azovibrio	0.9968	magenta										
g__Methyloglobulus	g__Methyloglobulus	19.895759283655398	g__Methyloglobulus	0.7987	magenta										
g__Ellin517	g__Ellin517	73.1014927599405	g__Ellin517	0.9968	magenta										
s__Aphyocypris_moltrechti	s__Aphyocypris_moltrechti	73.1014927599405	s__Aphyocypris_moltrechti	0.9968	magenta										
s__Sebastes_fasciatus	s__Sebastes_fasciatus	73.1014927599405	s__Sebastes_fasciatus	0.9968	magenta										
s__Sebastes_koreanus	s__Sebastes_koreanus	73.1014927599405	s__Sebastes_koreanus	0.9968	magenta										
s__Sebastes_norvegicus	s__Sebastes_norvegicus	63.9313896978979	s__Sebastes_norvegicus	0.9754	magenta										
s__Sebastes_schlegelii	s__Sebastes_schlegelii	64.47311219113949	s__Sebastes_schlegelii	0.9796	magenta										
s__Sebastes_steindachneri	s__Sebastes_steindachneri	73.1014927599405	s__Sebastes_steindachneri	0.9968	magenta										
s__Sebastes_trivittatus	s__Sebastes_trivittatus	73.1014927599405	s__Sebastes_trivittatus	0.9968	magenta										
s__Sebastes_variabilis	s__Sebastes_variabilis	73.1014927599405	s__Sebastes_variabilis	0.9968	magenta										
g__Zymoseptoria	g__Zymoseptoria	16.296190674834	g__Zymoseptoria	0.773	magenta										
g__Arthroderma	g__Arthroderma	73.1014927599405	g__Arthroderma	0.9968	magenta										
g__Epichloe	g__Epichloe	73.1014927599405	g__Epichloe	0.9968	magenta										
g__Hexanchorus	g__Hexanchorus	73.1014927599405	g__Hexanchorus	0.9968	magenta										
g__Fallceon	g__Fallceon	73.1014927599405	g__Fallceon	0.9968	magenta										
g__Lysmus	g__Lysmus	8.88214184069534	g__Lysmus	0.6871	magenta										
g__Isoptena	g__Isoptena	15.1909882027265	g__Isoptena	0.7341	magenta										
g__Chondrilla	g__Chondrilla	73.1014927599405	g__Chondrilla	0.9968	magenta										
g__Gelliodes	g__Gelliodes	15.875823191761501	g__Gelliodes	0.7726	magenta										
g__Paratimea	g__Paratimea	26.797872510459598	g__Paratimea	0.8422	magenta										
g__Fragilonemertes	g__Fragilonemertes	73.1014927599405	g__Fragilonemertes	0.9968	magenta										
g__Nasima	g__Nasima	73.1014927599405	g__Nasima	0.9968	magenta										
g__Sicyonia	g__Sicyonia	73.1014927599405	g__Sicyonia	0.9968	magenta										
g__Haliporoides	g__Haliporoides	73.1014927599405	g__Haliporoides	0.9968	magenta										
g__Cyphocaris	g__Cyphocaris	73.1014927599405	g__Cyphocaris	0.9968	magenta										
g__Vibilia	g__Vibilia	73.1014927599405	g__Vibilia	0.9968	magenta										
g__Nannaria	g__Nannaria	15.1909882027265	g__Nannaria	0.7341	magenta										
g__Anthostella	g__Anthostella	73.1014927599405	g__Anthostella	0.9968	magenta										
g__Caenorhabditis	g__Caenorhabditis	73.1014927599405	g__Caenorhabditis	0.9968	magenta										
g__Paracentrotus	g__Paracentrotus	73.1014927599405	g__Paracentrotus	0.9968	magenta										
g__Urodasys	g__Urodasys	26.999408529059302	g__Urodasys	0.8479	magenta										
g__Planorbula	g__Planorbula	73.1014927599405	g__Planorbula	0.9968	magenta										
g__Faustina	g__Faustina	23.0413022791874	g__Faustina	0.8157	magenta										
g__Malagazzia	g__Malagazzia	4.5778315604083	g__Malagazzia	0.6184	magenta										
g__Placostylus	g__Placostylus	32.4190375616669	g__Placostylus	0.8667	magenta										
g__Oophana	g__Oophana	73.1014927599405	g__Oophana	0.9968	magenta										
g__Catinella	g__Catinella	63.47957972084371	g__Catinella	0.9749	magenta										
g__Mekongia	g__Mekongia	30.2199960247359	g__Mekongia	0.8609	magenta										
g__Viviparus	g__Viviparus	18.1247488543732	g__Viviparus	0.7786	magenta										
g__Haloa	g__Haloa	3.67152702017404	g__Haloa	0.5956	magenta										
g__Phanerophthalmus	g__Phanerophthalmus	73.1014927599405	g__Phanerophthalmus	0.9968	magenta										
g__Chondrothyra	g__Chondrothyra	73.1014927599405	g__Chondrothyra	0.9968	magenta										
g__Fluviopupa	g__Fluviopupa	73.1014927599405	g__Fluviopupa	0.9968	magenta										
g__Truncatella	g__Truncatella	73.1014927599405	g__Truncatella	0.9968	magenta										
g__Nipponaphera	g__Nipponaphera	73.1014927599405	g__Nipponaphera	0.9968	magenta										
g__Bullia	g__Bullia	67.1357629948877	g__Bullia	0.9825	magenta										
g__Hastula	g__Hastula	73.1014927599405	g__Hastula	0.9968	magenta										
g__Ardeadoris	g__Ardeadoris	73.1014927599405	g__Ardeadoris	0.9968	magenta										
g__Phyllodesmium	g__Phyllodesmium	61.428766744622706	g__Phyllodesmium	0.9686	magenta										
g__Bolma	g__Bolma	73.1014927599405	g__Bolma	0.9968	magenta										
g__Murchisonella	g__Murchisonella	73.1014927599405	g__Murchisonella	0.9968	magenta										
g__Certesella	g__Certesella	12.8121556894754	g__Certesella	0.7123	magenta										
g__Pontostratiotes	g__Pontostratiotes	39.41444139353921	g__Pontostratiotes	0.9002	magenta										
g__Cytheridella	g__Cytheridella	73.1014927599405	g__Cytheridella	0.9968	magenta										
g__Philodina	g__Philodina	51.1944079878075	g__Philodina	0.9415	magenta										
g__Squamamoeba	g__Squamamoeba	73.1014927599405	g__Squamamoeba	0.9968	magenta										
