id	name	connectivity	gene_id	kme	module	TN_corr	Temperature_corr	NH3N_corr	TP_corr	TUB_corr	DO_corr	pH_corr	COD_corr	EC_corr	V_corr
g__Samsoniella	g__Samsoniella	30.8858360437357	g__Samsoniella	0.8546	brown										
g__Microbotryum	g__Microbotryum	48.612510055756395	g__Microbotryum	0.9201	brown										
g__Cutaneotrichosporon	g__Cutaneotrichosporon	84.4638805089365	g__Cutaneotrichosporon	0.9897	brown										
g__Allomyces	g__Allomyces	22.577164814952503	g__Allomyces	0.8042	brown										
g__Enochrus	g__Enochrus	15.0331180306206	g__Enochrus	0.7345	brown										
g__Limnometra	g__Limnometra	84.4638805089365	g__Limnometra	0.9897	brown										
g__Wormaldia	g__Wormaldia	84.4638805089365	g__Wormaldia	0.9897	brown										
g__Oncosclera	g__Oncosclera	4.09022086482456	g__Oncosclera	0.6007	brown										
g__Trochospongilla	g__Trochospongilla	84.4638805089365	g__Trochospongilla	0.9897	brown										
g__Urobenus	g__Urobenus	5.27501363785476	g__Urobenus	0.6045	brown										
g__Eulalia	g__Eulalia	84.4638805089365	g__Eulalia	0.9897	brown										
g__Owenia	g__Owenia	84.4638805089365	g__Owenia	0.9897	brown										
g__Hydroides	g__Hydroides	84.4638805089365	g__Hydroides	0.9897	brown										
g__Caenoplana	g__Caenoplana	84.4638805089365	g__Caenoplana	0.9897	brown										
g__Pseudosesarma	g__Pseudosesarma	84.4638805089365	g__Pseudosesarma	0.9897	brown										
g__Orocladosoma	g__Orocladosoma	84.4638805089365	g__Orocladosoma	0.9897	brown										
g__Schizoturanius	g__Schizoturanius	84.4638805089365	g__Schizoturanius	0.9897	brown										
g__Parafontaria	g__Parafontaria	46.4285304738562	g__Parafontaria	0.9049	brown										
g__Paraminabea	g__Paraminabea	6.39948464080312	g__Paraminabea	0.6363	brown										
g__Dipsastraea	g__Dipsastraea	84.4638805089365	g__Dipsastraea	0.9897	brown										
g__Rhabdias	g__Rhabdias	84.4638805089365	g__Rhabdias	0.9897	brown										
g__Tropiometra	g__Tropiometra	84.4638805089365	g__Tropiometra	0.9897	brown										
g__Leptosynapta	g__Leptosynapta	65.2126505511658	g__Leptosynapta	0.9485	brown										
g__Parachloritis	g__Parachloritis	5.9208779478970195	g__Parachloritis	0.6106	brown										
g__Marmorana	g__Marmorana	3.03821664473351	g__Marmorana	0.5594	brown										
g__Otala	g__Otala	84.4638805089365	g__Otala	0.9897	brown										
g__Hydrichthys	g__Hydrichthys	2.9792028472370498	g__Hydrichthys	0.5585	brown										
g__Amphinema	g__Amphinema	14.2215273712786	g__Amphinema	0.7406	brown										
g__Helgicirrha	g__Helgicirrha	14.7091517858332	g__Helgicirrha	0.7287	brown										
g__Trochoidea	g__Trochoidea	63.1022202427589	g__Trochoidea	0.9591	brown										
g__Haploptychius	g__Haploptychius	10.977919441681001	g__Haploptychius	0.7056	brown										
g__Madeirovitrina	g__Madeirovitrina	84.4638805089365	g__Madeirovitrina	0.9897	brown										
g__Campeloma	g__Campeloma	84.4638805089365	g__Campeloma	0.9897	brown										
g__Philine	g__Philine	84.4638805089365	g__Philine	0.9897	brown										
g__Pyropelta	g__Pyropelta	65.9029737593664	g__Pyropelta	0.9583	brown										
g__Peronia	g__Peronia	44.344868441548904	g__Peronia	0.8907	brown										
g__Platevindex	g__Platevindex	84.4638805089365	g__Platevindex	0.9897	brown										
g__Nacella	g__Nacella	84.4638805089365	g__Nacella	0.9897	brown										
g__Phyllodiaptomus	g__Phyllodiaptomus	84.4638805089365	g__Phyllodiaptomus	0.9897	brown										
g__Homidia	g__Homidia	70.1312254060238	g__Homidia	0.9655	brown										
g__Folsomia	g__Folsomia	49.2269001388608	g__Folsomia	0.9291	brown										
g__Callyntrura	g__Callyntrura	35.526769800268	g__Callyntrura	0.8604	brown										
g__Ceratophysella	g__Ceratophysella	56.643794341047204	g__Ceratophysella	0.9279	brown										
g__Crossodonthina	g__Crossodonthina	84.4638805089365	g__Crossodonthina	0.9897	brown										
g__Tetramitus	g__Tetramitus	14.0914449041226	g__Tetramitus	0.7282	brown										
g__Vallentinia	g__Vallentinia	84.4638805089365	g__Vallentinia	0.9897	brown										
g__Erenna	g__Erenna	6.702815079761799	g__Erenna	0.6377	brown										
